season,round,model,points
202201,1,elo,5.5
202201,1,home_by_7,4.5
202201,1,table_position,5.5
202201,2,elo,6.5
202201,2,home_by_7,6.0
202201,2,table_position,2.0
202201,3,elo,7.5
202201,3,home_by_7,5.5
202201,3,table_position,5.0
202201,4,elo,5.0
202201,4,home_by_7,5.5
202201,4,table_position,7.0
202201,5,elo,7.0
202201,5,home_by_7,5.0
202201,5,table_position,5.0
202201,6,elo,5.0
202201,6,home_by_7,6.5
202201,6,table_position,4.5
202201,7,elo,8.5
202201,7,home_by_7,3.0
202201,7,table_position,7.5
202201,8,elo,7.5
202201,8,home_by_7,8.5
202201,8,table_position,6.5
202201,9,elo,8.0
202201,9,home_by_7,7.0
202201,9,table_position,7.0
202201,10,elo,10.0
202201,10,home_by_7,6.0
202201,10,table_position,6.5
202201,11,elo,4.5
202201,11,home_by_7,4.0
202201,11,table_position,4.5
202201,12,elo,4.0
202201,12,home_by_7,6.5
202201,12,table_position,5.0
202201,13,elo,7.0
202201,13,home_by_7,4.5
202201,13,table_position,4.5
202201,14,elo,7.5
202201,14,home_by_7,5.5
202201,14,table_position,5.5
202201,15,elo,6.0
202201,15,home_by_7,4.0
202201,15,table_position,9.0
202201,16,elo,5.5
202201,16,home_by_7,4.5
202201,16,table_position,6.0
202201,17,elo,7.5
202201,17,home_by_7,7.0
202201,17,table_position,7.5
202201,18,elo,4.5
202201,18,home_by_7,6.5
202201,18,table_position,5.5
202201,19,elo,2.5
202201,19,home_by_7,2.0
202201,19,table_position,2.0
202201,20,elo,1.5
202201,20,home_by_7,1.0
202201,20,table_position,1.0
202201,21,elo,0.0
202201,21,home_by_7,0.0
202201,21,table_position,0.0
202301,1,elo,7.0
202301,1,home_by_7,4.5
202301,1,table_position,4.5
202301,2,elo,9.0
202301,2,home_by_7,8.0
202301,2,table_position,4.0
202301,3,elo,7.0
202301,3,home_by_7,9.5
202301,3,table_position,6.0
202301,4,elo,5.5
202301,4,home_by_7,6.0
202301,4,table_position,5.5
202301,5,elo,6.0
202301,5,home_by_7,7.5
202301,5,table_position,6.5
202301,6,elo,6.0
202301,6,home_by_7,8.0
202301,6,table_position,3.5
202301,7,elo,7.0
202301,7,home_by_7,6.0
202301,7,table_position,6.0
202301,8,elo,8.0
202301,8,home_by_7,5.0
202301,8,table_position,9.0
202301,9,elo,4.5
202301,9,home_by_7,9.5
202301,9,table_position,5.5
202301,10,elo,8.0
202301,10,home_by_7,3.5
202301,10,table_position,8.5
202301,11,elo,8.5
202301,11,home_by_7,6.5
202301,11,table_position,9.0
202301,12,elo,5.5
202301,12,home_by_7,5.5
202301,12,table_position,5.0
202301,13,elo,5.5
202301,13,home_by_7,9.5
202301,13,table_position,5.0
202301,14,elo,6.0
